url,nom,prix,duree,taux_rentabilite,status
https://app.bricks.co/properties/13c1f39c-18df-4d21-86f7-e03078d28090,Parc de locaux Bessan,4400000,1 an et 6 mois,"12,00 % /an",Financé
https://app.bricks.co/properties/d84ac998-140d-4119-8bef-cffeb6220197,Chalet Megève,2400000,3 ans,"10,00 % /an",Financé
https://app.bricks.co/properties/3fea44e7-23fc-4b9e-a218-7fc3ab4f5c50,Maison Lespinasse,275000,1 an,"11,00 % /an",Financé
https://app.bricks.co/properties/ffd37e0d-3446-450a-9dc1-eead33a464ec,La Mûrisserie,420000,3 ans,"10,00 % /an",Financé
https://app.bricks.co/properties/accb2371-dd58-48a2-9d8f-1ff90d87d460,Appartement Penha de Franca,135000,2 ans,"11,00 % /an",Financé
https://app.bricks.co/properties/08135bf2-4629-49d4-8494-de834b1e2785,La grange d'Ange,250000,2 ans,"10,00 % /an",Financé
https://app.bricks.co/properties/9a775fd5-4d85-488c-80c8-4b15e13e8008,Maison la Toulousaine,305000,1 an,"10,00 % /an",Financé
https://app.bricks.co/properties/5687ea75-f080-4b4c-b4eb-77bf3b4c6d1c,Maison Arsac Pillard,580000,1 an,"10,00 % /an",Financé
https://app.bricks.co/properties/a7e7e10d-99d5-4bc0-8512-e8d4393cdb6e,Maison Bas Brésis - Alès,150000,1 an et 6 mois,"10,00 % /an",Financé
https://app.bricks.co/properties/4db5c4c4-ab1f-4e6d-9325-11a3e6618407,Château de Chicamour,1750000,3 ans,"11,00 % /an",Financé
https://app.bricks.co/properties/a7e6aee2-d6c2-4373-8250-66eff3a2675f,Villa Bois Lecomte,1200000,5 ans,"9,00 % /an",Financé
https://app.bricks.co/properties/ece6d53e-8395-4d71-83f9-e527829b2ba1,Appartement Roquebrune,45000,1 an,"11,00 % /an",Financé
https://app.bricks.co/properties/1273de76-fd1f-4567-ae95-992867eacf79,Maison République,300000,3 ans,"10,00 % /an",Financé
https://app.bricks.co/properties/dad836ab-49ff-4f91-8d6a-dae4401290e6,39 studios étudiants à Vannes,700000,3 ans,"10,00 % /an",Financé
https://app.bricks.co/properties/367beb9d-6a0a-43d8-a5e5-d88a5249dcdf,Locaux commerciaux St Martin de Crau,535000,1 an et 6 mois,"11,00 % /an",Financé
https://app.bricks.co/properties/a34f8c1d-e92f-41d6-8ee2-a700b0555327,Immeuble Gare - Nevers,136000,1 an,"11,00 % /an",Financé
https://app.bricks.co/properties/e3c74c95-1926-45dd-97b7-c9cbd32ccc5a,Groupe Faubourg II - Carrosserie Troyes,1500000,2 ans,"10,00 % /an",Financé
https://app.bricks.co/properties/4231541e-5318-4061-9389-c6b54c8399a0,Groupe Faubourg I - Carrosserie Melun,2750000,2 ans,"11,00 % /an",Financé
https://app.bricks.co/properties/fee55336-f325-4255-a2cb-2b782c6ca48c,Villa Arcachon,650000,2 ans,"11,00 % /an",Financé
https://app.bricks.co/properties/36811f3b-747b-4e2e-92b6-6cdb70dfa55d,Maison de Huelgoat,71000,3 ans,"9,00 % /an",Financé
https://app.bricks.co/properties/5bf54428-a6f5-4fa3-a859-22ab2252485f,Gîtes du général,129000,4 ans,"10,00 % /an",Financé
https://app.bricks.co/properties/7a7b9015-5bb1-4aa0-95fb-57bf216d1f57,Immeuble Ledru Rollin,1100000,1 an et 6 mois,"11,00 % /an",Financé
https://app.bricks.co/properties/d0342de5-8b7b-4bd7-842b-f14b0aefbb44,Appartement le Petit Jean,100000,1 an,"11,00 % /an",Remboursé
https://app.bricks.co/properties/bcde6963-918b-4fa5-b0e4-88669513dba4,Harvey - Biscarosse (David Douillet),550000,2 ans,"11,00 % /an",Financé
https://app.bricks.co/properties/0cabe831-37c4-45cf-9956-06f28eb260f2,Maison Vercingétorix,246000,1 an et 3 mois,"10,00 % /an",Financé
